Kode Item	Nama Item	Jenis	Konversi	Satuan	Harga Pokok	Harga Retail	Harga Grosir
8992775001073	CHOCOLATOS BTL 190ML(1X24)	MNM	24.00	DUS	120,400	124,000	0
8992775001608	CHOCOLATOS CHESE 12G(1X8X24)	MKAN	1.00	PCS	825	1,000	0
8992775001608	CHOCOLATOS CHESE 12G(1X8X24)	MKAN	24.00	BOX	19,800	23,000	21,000
8992775001608	CHOCOLATOS CHESE 12G(1X8X24)	MKAN	192.00	DUS	158,400	165,000	0
8992775311479	CHOCOLATOS DARK 12G(1X8X24)	MKAN	1.00	PCS	825	1,000	0
8992775311479	CHOCOLATOS DARK 12G(1X8X24)	MKAN	24.00	BOX	19,800	23,500	21,500
8992775311479	CHOCOLATOS DARK 12G(1X8X24)	MKAN	192.00	DUS	158,400	165,000	0
8992775913000	CHOCOLATOS DRINK RTNG 26G(1X8X10)	MNM	1.00	PCS	1,955	3,000	0
8992775913000	CHOCOLATOS DRINK RTNG 26G(1X8X10)	MNM	10.00	RCG	19,550	21,500	21,000
8992775913000	CHOCOLATOS DRINK RTNG 26G(1X8X10)	MNM	80.00	DUS	156,400	161,000	0
8992775100998	CHOCOLATOS PILLOW 21G(1X6X10)	MKAN	1.00	PCS	1,707	2,000	0
8992775100998	CHOCOLATOS PILLOW 21G(1X6X10)	MKAN	10.00	RCG	17,067	19,500	17,750
8992775100998	CHOCOLATOS PILLOW 21G(1X6X10)	MKAN	60.00	DUS	102,400	104,500	0
